id	time	speaker	text
0	0	CMD	"(calibrate)"
1	2018-09-06 11:20:09.49	DM->CMD	"calibrating. . ."
2	2018-09-06 11:20:27.75	RN	"<X: audio sync in three two one>"
3	2018-09-06 11:20:27.77	CMD	"<X: audio sync in three two one>"
4	2018-09-06 11:20:30.41	RN	"<loud noise>"
5	2018-09-06 11:20:30.41	CMD	"<loud noise>"
6	2018-09-06 11:20:30.68	CMD	"<no speech>"
7	2018-09-06 11:20:35.40	CMD	"<X: alright>"
8	2018-09-06 11:20:35.72	CMD	"<X: you can let go of the button now>"
9	2018-09-06 11:20:48.71	DM->CMD	"calibration complete"
10	2018-09-06 11:20:55.50	CMD	"i'm ready"
11	2018-09-06 11:20:56.92	DM->RN	"participant is ready"
12	2018-09-06 11:21:00.81	DM->CMD	"I'm also ready.  <beep>"
13	2018-09-06 11:21:07.76	CMD	"turn forty five degrees counterclockwise "
14	2018-09-06 11:21:09.86	CMD	"and take a picture"
15	2018-09-06 11:21:11.36	DM->CMD	"processing. . ."
16	2018-09-06 11:21:15.17	DM->RN	"turn left 45 degrees"
17	2018-09-06 11:21:16.85	DM->CMD	"turning. . ."
18	2018-09-06 11:21:18.79	DM->RN	"then. . ."
19	2018-09-06 11:21:19.58	DM->RN	"send image"
20	2018-09-06 11:21:22.21	RN	"done and sent"
21	2018-09-06 11:21:22.22	DM->CMD	"done, sent"
22	2018-09-06 11:21:35.16	CMD	"<no speech>"
23	2018-09-06 11:21:36.48	CMD	"turn ninety degrees counterclockwise"
24	2018-09-06 11:21:38.37	CMD	"then take a picture"
25	2018-09-06 11:21:39.97	DM->CMD	"processing. . ."
26	2018-09-06 11:21:43.26	DM->RN	"turn left 90 degrees"
27	2018-09-06 11:21:44.28	DM->RN	"then. . ."
28	2018-09-06 11:21:45.20	DM->CMD	"turning. . ."
29	2018-09-06 11:21:46.17	DM->RN	"send image"
30	2018-09-06 11:21:52.07	RN	"done and sent"
31	2018-09-06 11:21:52.78	DM->CMD	"done, sent"
32	2018-09-06 11:21:56.95	CMD	"<no speech>"
33	2018-09-06 11:21:57.99	CMD	"go east <pause .32> two meters"
34	2018-09-06 11:22:03.25	DM->CMD	"processing. . ."
35	2018-09-06 11:22:05.32	DM->RN	"turn to face East"
36	2018-09-06 11:22:06.69	DM->RN	"then. . ."
37	2018-09-06 11:22:07.66	DM->CMD	"turning. . ."
38	2018-09-06 11:22:13.40	DM->RN	"move forward 2 meters"
39	2018-09-06 11:22:15.59	DM->CMD	"moving. . ."
40	2018-09-06 11:22:20.66	RN	"done"
41	2018-09-06 11:22:21.08	DM->CMD	"done"
42	2018-09-06 11:22:22.80	CMD	"turn one hundred and fifty degrees clockwise"
43	2018-09-06 11:22:25.29	CMD	"then take a picture"
44	2018-09-06 11:22:27.53	DM->CMD	"processing. . ."
45	2018-09-06 11:22:32.35	DM->RN	"turn right 150 degrees"
46	2018-09-06 11:22:34.01	DM->RN	"then. . ."
47	2018-09-06 11:22:34.70	DM->CMD	"turning. . ."
48	2018-09-06 11:22:35.65	DM->RN	"send image"
49	2018-09-06 11:22:50.13	RN	"done and sent"
50	2018-09-06 11:22:50.61	DM->CMD	"done, sent"
51	2018-09-06 11:22:56.13	CMD	"face west "
52	2018-09-06 11:22:56.73	CMD	"then take a picture"
53	2018-09-06 11:22:59.60	DM->CMD	"processing. . ."
54	2018-09-06 11:23:01.62	DM->RN	"turn to face West"
55	2018-09-06 11:23:02.53	DM->RN	"then. . ."
56	2018-09-06 11:23:03.74	DM->CMD	"turning. . ."
57	2018-09-06 11:23:04.98	DM->RN	"send image"
58	2018-09-06 11:23:08.50	RN	"done and sent"
59	2018-09-06 11:23:08.55	DM->CMD	"done, sent"
60	2018-09-06 11:23:22.29	CMD	"face north"
61	2018-09-06 11:23:23.04	CMD	"then take a picture"
62	2018-09-06 11:23:26.49	DM->CMD	"processing. . ."
63	2018-09-06 11:23:28.35	DM->RN	"turn to face North"
64	2018-09-06 11:23:29.61	DM->RN	"then. . ."
65	2018-09-06 11:23:30.42	DM->CMD	"turning. . ."
66	2018-09-06 11:23:31.48	DM->RN	"send image"
67	2018-09-06 11:23:37.14	RN	"done and sent"
68	2018-09-06 11:23:37.64	DM->CMD	"done, sent"
69	2018-09-06 11:23:43.94	CMD	"turn forty five degrees clockwise "
70	2018-09-06 11:23:45.68	CMD	"then take a picture"
71	2018-09-06 11:23:48.06	DM->CMD	"processing. . ."
72	2018-09-06 11:23:51.08	DM->RN	"turn right 45 degrees"
73	2018-09-06 11:23:52.32	DM->RN	"then. . ."
74	2018-09-06 11:23:53.17	DM->CMD	"turning. . ."
75	2018-09-06 11:23:53.94	DM->RN	"send image"
76	2018-09-06 11:23:57.62	RN	"done and sent"
77	2018-09-06 11:23:57.99	DM->CMD	"done, sent"
78	2018-09-06 11:24:04.95	CMD	"what is that yellow thing behind the cen<disfl> center block"
79	2018-09-06 11:24:12.17	DM->CMD	"Hmm. . ."
80	2018-09-06 11:24:15.66	DM->CMD	"I'm not sure."
81	2018-09-06 11:24:17.09	DM->CMD	"I can move to take a good picture of an object that you are interested in.  <beep>"
82	2018-09-06 11:24:19.55	CMD	"please do"
83	2018-09-06 11:24:29.02	DM->CMD	"processing. . ."
84	2018-09-06 11:24:37.69	DM->RN	"send image of flashlight"
85	2018-09-06 11:24:42.34	DM->CMD	"executing. . ."
86	2018-09-06 11:24:50.96	RN	"uh done<done> or sent"
87	2018-09-06 11:24:51.57	DM->CMD	"done, sent"
88	2018-09-06 11:24:59.98	CMD	"go three meters to the south"
89	2018-09-06 11:25:04.31	DM->CMD	"processing. . ."
90	2018-09-06 11:25:09.38	DM->RN	"turn to face South"
91	2018-09-06 11:25:10.53	DM->RN	"then. . ."
92	2018-09-06 11:25:11.25	DM->CMD	"turning. . ."
93	2018-09-06 11:25:15.52	DM->RN	"move forward 3 meters"
94	2018-09-06 11:25:26.11	DM->CMD	"moving. . ."
95	2018-09-06 11:25:33.49	RN	"done"
96	2018-09-06 11:25:33.85	DM->CMD	"done"
97	2018-09-06 11:25:35.75	CMD	"go back two feet"
98	2018-09-06 11:25:38.88	DM->CMD	"processing. . ."
99	2018-09-06 11:25:45.47	DM->RN	"move back 2 feet"
100	2018-09-06 11:25:47.47	DM->CMD	"moving. . ."
101	2018-09-06 11:25:50.65	RN	"done"
102	2018-09-06 11:25:51.50	DM->CMD	"done"
103	2018-09-06 11:25:54.02	CMD	"take a picture to the east"
104	2018-09-06 11:25:58.46	DM->CMD	"processing. . ."
105	2018-09-06 11:26:00.95	DM->RN	"turn to face East"
106	2018-09-06 11:26:02.29	DM->RN	"then. . ."
107	2018-09-06 11:26:03.08	DM->CMD	"turning. . ."
108	2018-09-06 11:26:04.06	DM->RN	"send image"
109	2018-09-06 11:26:10.97	DM->CMD	"done, sent"
110	2018-09-06 11:26:11.23	RN	"done and sent"
111	2018-09-06 11:26:24.13	CMD	"take a picture to the south"
112	2018-09-06 11:26:28.42	DM->CMD	"processing. . ."
113	2018-09-06 11:26:30.87	DM->RN	"turn to face South"
114	2018-09-06 11:26:31.76	DM->RN	"then. . ."
115	2018-09-06 11:26:32.56	DM->CMD	"turning. . ."
116	2018-09-06 11:26:33.17	DM->RN	"send image"
117	2018-09-06 11:26:39.54	RN	"done and sent"
118	2018-09-06 11:26:40.43	DM->CMD	"done, sent"
119	2018-09-06 11:26:53.15	CMD	"take a picture to the west"
120	2018-09-06 11:26:55.92	DM->CMD	"processing. . ."
121	2018-09-06 11:26:58.48	DM->RN	"turn to face West"
122	2018-09-06 11:26:59.51	DM->RN	"then. . ."
123	2018-09-06 11:27:00.46	DM->CMD	"turning. . ."
124	2018-09-06 11:27:01.28	DM->RN	"send image"
125	2018-09-06 11:27:08.15	RN	"done and sent"
126	2018-09-06 11:27:08.42	DM->CMD	"done, sent"
127	2018-09-06 11:27:17.63	CMD	"go forward one meter"
128	2018-09-06 11:27:21.09	DM->CMD	"processing. . ."
129	2018-09-06 11:27:28.59	DM->RN	"move forward 1 meter"
130	2018-09-06 11:27:31.30	DM->CMD	"moving. . ."
131	2018-09-06 11:27:33.79	RN	"done"
132	2018-09-06 11:27:34.32	DM->CMD	"done"
133	2018-09-06 11:27:38.78	CMD	"take a picture"
134	2018-09-06 11:27:40.84	DM->RN	"send image"
135	2018-09-06 11:27:42.03	RN	"sent"
136	2018-09-06 11:27:42.30	DM->CMD	"sent"
137	2018-09-06 11:27:52.12	CMD	"turn left forty five degrees "
138	2018-09-06 11:27:53.75	CMD	"then take a picture"
139	2018-09-06 11:27:56.03	DM->CMD	"processing. . ."
140	2018-09-06 11:28:01.97	DM->RN	"turn left 45 degrees"
141	2018-09-06 11:28:02.74	DM->RN	"then. . ."
142	2018-09-06 11:28:03.86	DM->CMD	"turning. . ."
143	2018-09-06 11:28:04.95	DM->RN	"send image"
144	2018-09-06 11:28:09.01	DM->CMD	"done, sent"
145	2018-09-06 11:28:09.05	RN	"done and sent"
146	2018-09-06 11:28:17.26	CMD	"turn left twenty degrees"
147	2018-09-06 11:28:18.44	CMD	"then take a picture <pic>>"
148	2018-09-06 11:28:20.26	DM->CMD	"processing. . ."
149	2018-09-06 11:28:27.64	DM->RN	"turn left 20 degrees"
150	2018-09-06 11:28:28.82	DM->RN	"then. . ."
151	2018-09-06 11:28:29.61	DM->CMD	"turning. . ."
152	2018-09-06 11:28:30.34	DM->RN	"send image"
153	2018-09-06 11:28:33.22	RN	"done and sent"
154	2018-09-06 11:28:34.06	DM->CMD	"done, sent"
155	2018-09-06 11:28:42.88	CMD	"go <pause .34> forward <pause .40> three meters"
156	2018-09-06 11:28:48.17	DM->CMD	"processing. . ."
157	2018-09-06 11:28:54.73	DM->RN	"move forward 3 meters"
158	2018-09-06 11:28:56.63	DM->CMD	"moving. . ."
159	2018-09-06 11:29:04.82	RN	"done"
160	2018-09-06 11:29:05.30	DM->CMD	"done"
161	2018-09-06 11:29:06.08	CMD	"<no speech>"
162	2018-09-06 11:29:07.56	CMD	"turn left ninety degrees "
163	2018-09-06 11:29:08.98	CMD	"then take a picture"
164	2018-09-06 11:29:10.56	DM->CMD	"processing. . ."
165	2018-09-06 11:29:13.64	DM->RN	"turn left 90 degrees"
166	2018-09-06 11:29:15.12	DM->RN	"then. . ."
167	2018-09-06 11:29:15.67	DM->CMD	"turning. . ."
168	2018-09-06 11:29:16.93	DM->RN	"send image"
169	2018-09-06 11:29:22.38	RN	"uh done and sent"
170	2018-09-06 11:29:23.54	DM->CMD	"done, sent"
171	2018-09-06 11:29:38.28	CMD	"<inhale>"
172	2018-09-06 11:29:39.12	CMD	"turn right <pause .87> forty five degrees"
173	2018-09-06 11:29:44.21	DM->CMD	"processing. . ."
174	2018-09-06 11:29:47.33	DM->CMD	"I will turn right 45 degrees"
175	2018-09-06 11:29:47.90	DM->RN	"turn right 45 degrees"
176	2018-09-06 11:29:50.85	DM->CMD	"turning. . ."
177	2018-09-06 11:29:54.64	RN	"done"
178	2018-09-06 11:29:55.05	CMD	"take a picture"
179	2018-09-06 11:29:55.31	DM->CMD	"done"
180	2018-09-06 11:29:56.72	DM->RN	"send image"
181	2018-09-06 11:29:57.69	RN	"sent"
182	2018-09-06 11:29:58.87	DM->CMD	"sent"
183	2018-09-06 11:30:12.93	CMD	"go forward two meters"
184	2018-09-06 11:30:16.23	DM->CMD	"processing. . ."
185	2018-09-06 11:30:24.27	DM->RN	"move forward 2 meters"
186	2018-09-06 11:30:26.41	DM->CMD	"moving. . ."
187	2018-09-06 11:30:32.81	RN	"done"
188	2018-09-06 11:30:33.34	CMD	"take a picture"
189	2018-09-06 11:30:33.35	DM->CMD	"done"
190	2018-09-06 11:30:34.99	DM->RN	"send image"
191	2018-09-06 11:30:36.23	RN	"sent"
192	2018-09-06 11:30:36.35	DM->CMD	"sent"
193	2018-09-06 11:30:39.07	CMD	"turn right <pause .28> ninety degrees "
194	2018-09-06 11:30:40.98	CMD	"then take a picture"
195	2018-09-06 11:30:42.46	DM->CMD	"processing. . ."
196	2018-09-06 11:30:45.64	DM->RN	"turn right 90 degrees"
197	2018-09-06 11:30:46.85	DM->RN	"then. . ."
198	2018-09-06 11:30:47.93	DM->CMD	"turning. . ."
199	2018-09-06 11:30:48.99	DM->RN	"send image"
200	2018-09-06 11:30:53.84	RN	"uh done and sent"
201	2018-09-06 11:30:54.89	DM->CMD	"done, sent"
202	2018-09-06 11:31:05.15	CMD	"turn left forty five degrees "
203	2018-09-06 11:31:06.79	CMD	"then take a picture"
204	2018-09-06 11:31:08.97	DM->CMD	"processing. . ."
205	2018-09-06 11:31:12.86	DM->RN	"turn left 45 degrees"
206	2018-09-06 11:31:14.08	DM->RN	"then. . ."
207	2018-09-06 11:31:14.97	DM->CMD	"turning. . ."
208	2018-09-06 11:31:16.21	DM->RN	"send image"
209	2018-09-06 11:31:19.45	RN	"uh done and sent"
210	2018-09-06 11:31:20.23	DM->CMD	"done, sent"
211	2018-09-06 11:31:25.31	CMD	"go through the doorway on your left"
212	2018-09-06 11:31:28.62	DM->CMD	"processing. . ."
213	2018-09-06 11:31:33.18	DM->RN	"move into Office hallway"
214	2018-09-06 11:31:34.79	DM->CMD	"executing. . ."
215	2018-09-06 11:31:44.68	RN	"uh done"
216	2018-09-06 11:31:45.49	CMD	"turn left ninety degrees "
217	2018-09-06 11:31:46.39	DM->CMD	"done"
218	2018-09-06 11:31:46.61	CMD	"then take a picture"
219	2018-09-06 11:31:48.00	DM->CMD	"processing. . ."
220	2018-09-06 11:31:51.23	DM->RN	"turn left 90 degrees"
221	2018-09-06 11:31:52.42	DM->RN	"then. . ."
222	2018-09-06 11:31:53.52	DM->CMD	"turning. . ."
223	2018-09-06 11:31:55.05	DM->RN	"send image"
224	2018-09-06 11:32:00.49	RN	"uh done and sent"
225	2018-09-06 11:32:01.29	DM->CMD	"done, sent"
226	2018-09-06 11:32:17.11	CMD	"move one and half meters to the south"
227	2018-09-06 11:32:21.95	DM->CMD	"processing. . ."
228	2018-09-06 11:32:24.92	DM->RN	"turn to face South"
229	2018-09-06 11:32:26.05	DM->RN	"then. . ."
230	2018-09-06 11:32:26.97	DM->CMD	"turning. . ."
231	2018-09-06 11:32:32.93	DM->RN	"move forward 1.5 meters"
232	2018-09-06 11:32:37.10	DM->CMD	"moving. . ."
233	2018-09-06 11:32:42.70	RN	"done "
234	2018-09-06 11:32:43.19	CMD	"turn forty five degrees to the right "
235	2018-09-06 11:32:43.49	DM->CMD	"done"
236	2018-09-06 11:32:45.08	CMD	"and take a picture"
237	2018-09-06 11:32:47.26	DM->CMD	"processing. . ."
238	2018-09-06 11:32:49.77	DM->RN	"turn right 45 degrees"
239	2018-09-06 11:32:51.05	DM->RN	"then. . ."
240	2018-09-06 11:32:52.27	DM->CMD	"turning. . ."
241	2018-09-06 11:32:53.43	DM->RN	"send image"
242	2018-09-06 11:32:57.27	RN	"done and sent"
243	2018-09-06 11:32:57.71	DM->CMD	"done, sent"
244	2018-09-06 11:33:05.97	CMD	"go through the doorway in front of you "
245	2018-09-06 11:33:09.84	DM->CMD	"processing. . ."
246	2018-09-06 11:33:13.25	DM->RN	"move into Foyer"
247	2018-09-06 11:33:15.22	DM->CMD	"executing. . ."
248	2018-09-06 11:33:27.01	RN	"done"
249	2018-09-06 11:33:27.44	DM->CMD	"done"
250	2018-09-06 11:33:29.33	CMD	"<no speech>"
251	2018-09-06 11:33:31.91	CMD	"turn left thirty degrees "
