id	time	stream	text
0	0	CMD	"(calibrate)"
1	2018-09-24 14:26:13.01	DM->RN	"calibrate"
2	2018-09-24 14:26:13.75	DM->CMD	"calibrating. . ."
3	2018-09-24 14:26:29.32	CMD	"<X: xxx>"
4	2018-09-24 14:26:31.65	CMD	"<no speech>"
5	2018-09-24 14:26:37.31	RN	"<X: audio sync in three two one>"
6	2018-09-24 14:26:37.37	CMD	"<X: audio sync in three two one>"
7	2018-09-24 14:26:41.18	RN	"<loud noise>"
8	2018-09-24 14:26:41.18	CMD	"<loud noise>"
9	2018-09-24 14:26:43.29	CMD	"<X: okay you can let it up>"
10	2018-09-24 14:26:43.33	DM->CMD	"calibration complete"
11	2018-09-24 14:26:52.42	CMD	"uh i am ready"
12	2018-09-24 14:26:54.55	DM->RN	"participant is ready"
13	2018-09-24 14:26:57.30	DM->CMD	"I'm also ready.  <beep>"
14	2018-09-24 14:27:11.88	CMD	"okay"
15	2018-09-24 14:27:12.34	CMD	"go forward about <pause .34> ten feet"
16	2018-09-24 14:27:15.51	DM->CMD	"processing. . ."
17	2018-09-24 14:27:17.71	DM->RN	"move forward 10 feet"
18	2018-09-24 14:27:35.27	RN	"done"
19	2018-09-24 14:27:36.77	DM->CMD	"done"
20	2018-09-24 14:27:37.51	CMD	"okay"
21	2018-09-24 14:27:37.80	CMD	"take a picture"
22	2018-09-24 14:27:40.80	DM->RN	"send image"
23	2018-09-24 14:27:41.28	RN	"sent"
24	2018-09-24 14:27:42.30	DM->CMD	"sent"
25	2018-09-24 14:27:50.43	CMD	"turn ninety degrees to the left"
26	2018-09-24 14:27:56.16	DM->RN	"turn left 90 degrees"
27	2018-09-24 14:27:57.03	DM->CMD	"I will turn left 90 degrees"
28	2018-09-24 14:28:11.08	RN	"done"
29	2018-09-24 14:28:12.36	DM->CMD	"done"
30	2018-09-24 14:28:12.97	CMD	"take picture"
31	2018-09-24 14:28:14.65	DM->RN	"send image"
32	2018-09-24 14:28:15.06	RN	"sent"
33	2018-09-24 14:28:16.24	DM->CMD	"sent"
34	2018-09-24 14:28:22.61	CMD	"another ninety degrees to the left"
35	2018-09-24 14:28:24.47	DM->RN	"turn left 90 degrees"
36	2018-09-24 14:28:28.32	DM->CMD	"turning. . ."
37	2018-09-24 14:28:38.02	RN	"done"
38	2018-09-24 14:28:39.46	DM->CMD	"done"
39	2018-09-24 14:28:42.00	CMD	"take picture"
40	2018-09-24 14:28:43.99	DM->RN	"send image"
41	2018-09-24 14:28:44.60	RN	"sent"
42	2018-09-24 14:28:45.83	DM->CMD	"sent"
43	2018-09-24 14:28:52.06	CMD	"go forward about five feet"
