id	time	stream	text
0	0	CMD	"(calibrate)"
1	2018-09-17 10:27:51.36	DM->CMD	"calibrating. . ."
2	2018-09-17 10:27:54.93	DM->RN	"calibrate"
3	2018-09-17 10:28:20.56	CMD	"<X: xxx>"
4	2018-09-17 10:28:21.91	CMD	"<no speech>"
5	2018-09-17 10:28:28.30	RN	"<X: audio sync in three two one>"
6	2018-09-17 10:28:28.42	CMD	"<X: audio sync in three two one>"
7	2018-09-17 10:28:32.34	RN	"<loud noise>"
8	2018-09-17 10:28:32.34	CMD	"<loud noise>"
9	2018-09-17 10:28:34.81	CMD	"<X: okay you can let it>"
10	2018-09-17 10:28:40.59	DM->CMD	"calibration complete"
11	2018-09-17 10:28:43.65	CMD	"i am ready"
12	2018-09-17 10:28:49.61	DM->CMD	"Hello! <beep>"
13	2018-09-17 10:28:52.06	DM->CMD	"Thanks for teaming up with me today."
14	2018-09-17 10:28:57.10	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."
15	2018-09-17 10:29:05.13	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."
16	2018-09-17 10:29:14.20	DM->CMD	"You can ask for help at any time."
17	2018-09-17 10:29:19.64	DM->RN	"participant is ready"
18	2018-09-17 10:29:21.78	DM->CMD	"I'm also ready.  <beep>"
19	2018-09-17 10:29:25.53	CMD	"go forward"
20	2018-09-17 10:29:30.31	DM->CMD	"processing. . ."
21	2018-09-17 10:29:38.18	DM->CMD	"How far forward should I go?  <beep>"
22	2018-09-17 10:29:41.05	CMD	"twenty feet"
23	2018-09-17 10:29:45.39	DM->CMD	"ok"
24	2018-09-17 10:29:51.73	DM->RN	"move forward 20ft"
25	2018-09-17 10:29:56.67	RN	"um i might hit a wall <pause .43> eventually cause i'm not quite straight"
26	2018-09-17 10:29:59.86	CMD	"go forward a hundred feet"
27	2018-09-17 10:30:01.01	RN	"<breath>"
28	2018-09-17 10:30:01.55	RN	"should i go as far as i can"
29	2018-09-17 10:30:05.64	DM->CMD	"moving. . ."
30	2018-09-17 10:30:26.47	RN	"done it was actually twenty"
31	2018-09-17 10:30:30.77	CMD	"do you see anything"
32	2018-09-17 10:30:31.47	DM->CMD	"I was only able to move forward 20."
33	2018-09-17 10:30:36.96	DM->CMD	"processing. . ."
34	2018-09-17 10:30:46.15	DM->CMD	"I'm facing a wall now.  <beep>"
35	2018-09-17 10:30:47.66	DM->CMD	"Would you like me to send a picture?  <beep>"
36	2018-09-17 10:30:53.12	CMD	"no"
37	2018-09-17 10:30:57.88	CMD	"go forward fifty feet"
38	2018-09-17 10:31:03.77	DM->CMD	"processing. . ."
39	2018-09-17 10:31:12.91	DM->CMD	"I'm facing a wall now.  <beep>"
40	2018-09-17 10:31:23.59	CMD	"veer right"
41	2018-09-17 10:31:28.34	DM->CMD	"processing. . ."
42	2018-09-17 10:31:38.73	CMD	"<notification sound>"
